short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
3090.06,557f8d40-dec1-4c61-bd03-a0d1a6ea0e4b,4376,29,Church Ave & McDonald Ave,40.642809,-73.979239,2023-03-22,2023
3090.06,557f8d40-dec1-4c61-bd03-a0d1a6ea0e4b,4376,29,Church Ave & McDonald Ave,40.642809,-73.979239,2022-12-12,2022
3090.06,557f8d40-dec1-4c61-bd03-a0d1a6ea0e4b,4376,29,Church Ave & McDonald Ave,40.642809,-73.979239,2021-09-22,2021
3093.07,380394f7-64fa-4a65-a4d1-7bcaddd41fab,4423,22,57 St & 4 Ave,40.642622,-74.016866,2024-09-26,2024
3093.07,380394f7-64fa-4a65-a4d1-7bcaddd41fab,4423,22,57 St & 4 Ave,40.642622,-74.016866,2023-03-22,2023
3093.07,380394f7-64fa-4a65-a4d1-7bcaddd41fab,4423,22,57 St & 4 Ave,40.642622,-74.016866,2022-12-12,2022
3093.07,380394f7-64fa-4a65-a4d1-7bcaddd41fab,4423,22,57 St & 4 Ave,40.642622,-74.016866,2021-09-22,2021
3113.06,1817432233006383832,1817432233006383832,25,Rugby Rd & Beverley Rd,40.64435,-73.96591,2024-09-26,2024
3113.10,1865017865553426604,1865017865553426604,19,Stratford Rd & Beverley Rd,40.64378,-73.96867,2024-09-26,2024
3117.05,31f340f3-3201-449e-b017-a26813aa448f,4400,21,46 St & 7 Ave,40.644743,-74.003754,2024-09-26,2024
3117.05,31f340f3-3201-449e-b017-a26813aa448f,4400,21,46 St & 7 Ave,40.644743,-74.003754,2023-03-22,2023
3117.05,31f340f3-3201-449e-b017-a26813aa448f,4400,21,46 St & 7 Ave,40.644743,-74.003754,2022-12-12,2022
3117.05,31f340f3-3201-449e-b017-a26813aa448f,4400,21,46 St & 7 Ave,40.644743,-74.003754,2021-09-22,2021
3121.01,1817432954560889524,1817432954560889524,21,Cortelyou Rd & Albany Ave,40.64483,-73.93853,2024-09-26,2024
3125.09,9991b75b-a9ba-4abc-bf84-0108291be05a,4449,25,Ocean Pkwy & Church Ave,40.6447189576357,-73.9745146036148,2024-09-26,2024
3125.09,9991b75b-a9ba-4abc-bf84-0108291be05a,4449,25,Ocean Pkwy & Church Ave,40.6447189576357,-73.9745146036148,2023-03-22,2023
3125.09,9991b75b-a9ba-4abc-bf84-0108291be05a,4449,25,Ocean Pkwy & Church Ave,40.6447189576357,-73.9745146036148,2022-12-12,2022
3125.09,9991b75b-a9ba-4abc-bf84-0108291be05a,4449,25,Ocean Pkwy & Church Ave,40.6447189576357,-73.9745146036148,2021-09-22,2021
3129.08,83d1ff16-ba56-4eae-aa6a-b37b6439db82,4384,30,53 St & 5 Ave,40.643371,-74.011884,2024-09-26,2024
